add-yield-c,12,1000,24000,31223904,1300,0
add-yield-m,12,10000,240000,435383036,1814,0
add-yield-c,12,10000,240000,235520205,981,0
add-yield-s,2,10,40,177857,4446,0
add-yield-s,2,20,80,223429,2792,0
add-yield-s,2,40,160,284440,1777,0
add-yield-s,2,80,320,395864,1237,0
add-yield-s,2,100,400,473241,1183,0
add-yield-s,2,1000,4000,3776134,944,0
add-yield-s,4,10,80,180884,2261,0
add-yield-s,4,20,160,308199,1926,0
add-yield-s,4,40,320,460498,1439,0
add-yield-s,4,80,640,805576,1258,0
add-yield-s,4,100,800,907229,1134,0
add-yield-s,4,1000,8000,9181776,1147,0
add-yield-s,8,10,160,308325,1927,0
add-yield-s,8,20,320,613014,1915,0
add-yield-s,8,40,640,1145987,1790,0
add-yield-s,8,80,1280,1931883,1509,0
add-yield-s,8,100,1600,2715148,1696,0
add-yield-s,8,1000,16000,23976965,1498,0
add-yield-s,12,10,240,439219,1830,0
add-yield-s,12,20,480,884397,1842,0
add-yield-s,12,40,960,1893396,1972,0
add-yield-s,12,80,1920,3610115,1880,0
add-yield-s,12,100,2400,4227249,1761,0
add-yield-s,12,1000,24000,42197078,1758,0
add-m,1,10,20,148756,7437,0
add-s,1,10,20,111752,5587,0
add-c,1,10,20,134687,6734,0
add-m,1,20,40,140327,3508,0
add-s,1,20,40,138226,3455,0
add-c,1,20,40,153461,3836,0
add-m,1,40,80,115968,1449,0
add-s,1,40,80,148881,1861,0
add-c,1,40,80,139334,1741,0
add-m,1,80,160,149095,931,0
add-s,1,80,160,148961,931,0
add-c,1,80,160,145096,906,0
add-m,1,100,200,141502,707,0
add-s,1,100,200,134506,672,0
add-c,1,100,200,142883,714,0
add-m,1,10000,20000,789526,39,0
add-s,1,10000,20000,399279,19,0
add-c,1,10000,20000,564630,28,0
add-m,2,10,40,116423,2910,0
add-s,2,10,40,146678,3666,0
add-c,2,10,40,156580,3914,0
add-m,2,20,80,169575,2119,0
add-s,2,20,80,199966,2499,0
add-c,2,20,80,122839,1535,0
add-m,2,40,160,137299,858,0
add-s,2,40,160,800683,5004,0
add-c,2,40,160,140168,876,0
add-m,2,80,320,171412,535,0
add-s,2,80,320,140516,439,0
add-c,2,80,320,161992,506,0
add-m,2,100,400,181069,452,0
add-s,2,100,400,145892,364,0
add-c,2,100,400,152730,381,0
add-m,2,10000,40000,14776927,369,0
add-s,2,10000,40000,2540217,63,0
add-c,2,10000,40000,3830860,95,0
add-m,4,10,80,258233,3227,0
add-s,4,10,80,171096,2138,0
add-c,4,10,80,232944,2911,0
add-m,4,20,160,207240,1295,0
add-s,4,20,160,176641,1104,0
add-c,4,20,160,236187,1476,0
add-m,4,40,320,197561,617,0
add-s,4,40,320,216478,676,0
add-c,4,40,320,238089,744,0
add-m,4,80,640,210667,329,0
add-s,4,80,640,218438,341,0
add-c,4,80,640,234016,365,0
add-m,4,100,800,188972,236,0
add-s,4,100,800,192844,241,0
